situation_id,trajectory_id,distance,wind,precipitation,fuel,time,score
45,1,896.95,3.8015384615384615,0.012307692307692308,896.95,64.81,961.76
45,2,908.25,3.468461538461539,0.09384615384615384,908.25,65.84,974.09
46,0,797.65,5.066,0.0,797.65,56.94,854.5899999999999
46,1,864.9,5.179230769230769,0.0,864.9,61.67,926.5699999999999
46,2,858.62,4.362307692307692,0.0,858.62,61.71,920.33
47,0,285.12,2.438,0.09000000000000001,285.12,20.87,305.99
47,1,634.62,2.33,0.16153846153846155,634.62,46.51,681.13
47,2,669.26,6.8307692307692305,0.06846153846153846,669.26,46.98,716.24
48,0,391.52,4.908666666666666,0.2366666666666667,391.52,27.99,419.51
48,1,680.54,2.5276923076923077,0.06461538461538462,680.54,49.78,730.3199999999999
48,2,698.79,4.3500000000000005,0.0,698.79,50.22,749.01
49,0,188.69,2.096,0.0,188.69,13.86,202.55
49,1,602.29,1.7353846153846155,0.057692307692307696,602.29,44.4,646.6899999999999
49,2,639.36,7.227692307692307,0.0,639.36,44.72,684.08
50,0,804.09,3.1233333333333335,0.036000000000000004,804.09,58.48,862.57
50,1,994.24,3.4061538461538463,0.0,994.24,72.11,1066.35
50,2,1018.21,3.986923076923077,0.0,1018.21,73.44,1091.65
51,0,151.63,4.188666666666666,0.22666666666666666,151.63,10.91,162.54
51,1,609.06,2.2115384615384617,0.10769230769230768,609.06,44.69,653.75
51,2,639.75,6.517692307692308,0.00923076923076923,639.75,45.05,684.8
52,0,640.58,2.006666666666667,0.12133333333333333,640.58,47.1,687.6800000000001
52,1,711.09,1.9007692307692308,0.0,711.09,52.34,763.4300000000001
52,2,729.22,4.242307692307692,0.02076923076923077,729.22,52.47,781.69
53,0,603.27,2.8673333333333337,0.13266666666666665,603.27,43.98,647.25
53,1,827.95,2.976153846153846,0.03461538461538461,827.95,60.3,888.25
53,2,848.9,4.189230769230769,0.00923076923076923,848.9,61.11,910.01
54,0,875.5,3.8186666666666667,0.026000000000000002,875.5,63.25,938.75
54,1,1006.7,3.4915384615384615,0.0,1006.7,72.96,1079.66
54,2,1020.91,3.583076923076923,0.04153846153846154,1020.91,73.92,1094.83
55,0,789.9,5.617333333333334,0.0,789.9,56.09,845.99
55,1,953.4,4.280769230769231,0.0,953.4,68.57,1021.97
55,2,970.5,4.881538461538462,0.0,970.5,69.4,1039.9
56,0,58.5,3.8033333333333337,0.0,58.5,4.23,62.730000000000004
56,1,594.45,1.7300000000000002,0.19307692307692306,594.45,43.83,638.2800000000001
56,2,629.17,6.8476923076923075,0.0,629.17,44.16,673.3299999999999
57,0,696.78,3.3273333333333333,0.05533333333333334,696.78,50.58,747.36
57,1,860.35,3.446923076923077,0.013846153846153845,860.35,62.38,922.73
57,2,861.95,2.3784615384615386,0.02846153846153846,861.95,63.14,925.09
58,0,263.26,2.981333333333333,0.0,263.26,19.17,282.43
58,1,628.07,0.966923076923077,0.1623076923076923,628.07,46.65,674.72
58,2,649.95,3.423076923076923,0.0,649.95,47.13,697.08
59,0,873.43,3.5446666666666666,0.0,873.43,63.26,936.6899999999999
59,1,1046.99,4.176153846153846,0.06692307692307692,1046.99,75.38,1122.37
59,2,1061.07,3.616153846153846,0.047692307692307694,1061.07,76.8,1137.87
60,0,284.74,2.002666666666667,0.0,284.74,20.94,305.68
60,1,627.72,1.3576923076923075,0.15076923076923077,627.72,46.45,674.1700000000001
60,2,638.42,2.0546153846153845,0.0,638.42,46.92,685.3399999999999
61,0,457.48,1.9686666666666668,0.11866666666666667,457.48,33.65,491.13
61,1,692.04,2.4476923076923076,0.008461538461538461,692.04,50.66,742.6999999999999
61,2,716.91,4.962307692307693,0.02076923076923077,716.91,51.23,768.14
63,0,731.59,5.461333333333333,0.01,731.59,52.03,783.62
63,1,885.22,2.5869230769230773,0.00923076923076923,885.22,64.72,949.94
63,2,918.12,5.177692307692308,0.03769230769230769,918.12,65.47,983.59
64,0,5159.97,4.362,0.0,5159.97,370.82,5530.79
64,1,5146.68,4.137692307692308,0.0,5146.68,370.66,5517.34
64,2,5205.79,4.3561538461538465,0.0,5205.79,374.14,5579.93
66,0,8623.6,4.177333333333333,0.006666666666666667,8623.6,620.84,9244.44
66,1,8628.58,4.377692307692308,0.0,8628.58,620.0,9248.58
66,2,8639.49,4.485384615384616,0.0,8639.49,620.15,9259.64
67,0,429.32,3.5766666666666667,0.03866666666666666,429.32,31.09,460.40999999999997
67,1,726.94,4.230769230769231,0.02769230769230769,726.94,52.31,779.25
67,2,731.6,3.4076923076923076,0.02769230769230769,731.6,53.06,784.6600000000001
68,0,1059.29,4.520666666666667,0.056666666666666664,1059.29,76.01,1135.3
68,1,1102.42,3.0176923076923075,0.02769230769230769,1102.42,80.26,1182.68
68,2,1098.23,2.613076923076923,0.02769230769230769,1098.23,80.27,1178.5
69,0,285.02,2.408,0.030666666666666665,285.02,20.87,305.89
69,1,634.48,2.33,0.1453846153846154,634.48,46.5,680.98
69,2,669.11,6.8307692307692305,0.02769230769230769,669.11,46.97,716.08
70,0,407.73,2.5953333333333335,0.08866666666666667,407.73,29.81,437.54
70,1,607.26,2.6515384615384616,0.060000000000000005,607.26,44.37,651.63
70,2,613.67,3.3469230769230767,0.06769230769230769,613.67,44.53,658.1999999999999
71,0,327.51,1.518,0.03266666666666666,327.51,24.2,351.71
71,1,670.49,1.5461538461538462,0.26999999999999996,670.49,49.52,720.01
71,2,698.52,4.558461538461538,0.052307692307692305,698.52,50.1,748.62
72,0,629.04,2.914,0.048666666666666664,629.04,45.84,674.88
72,1,847.51,3.882307692307692,0.02769230769230769,847.51,61.19,908.7
72,2,851.12,2.82,0.05384615384615384,851.12,62.08,913.2
73,0,260.5,2.2093333333333334,0.068,260.5,19.12,279.62
73,1,604.62,3.102307692307692,0.09846153846153846,604.62,43.98,648.6
73,2,615.21,4.122307692307692,0.05846153846153846,615.21,44.31,659.52
74,0,422.69,2.494666666666667,0.07333333333333333,422.69,30.93,453.62
74,1,587.14,2.0892307692307694,0.007692307692307693,587.14,43.13,630.27
74,2,590.98,2.350769230769231,0.007692307692307693,590.98,43.31,634.29
75,0,527.76,2.572666666666666,0.024666666666666667,527.76,38.59,566.35
75,1,715.66,2.6692307692307695,0.04,715.66,52.28,767.9399999999999
75,2,722.69,2.8576923076923078,0.050769230769230775,722.69,52.7,775.3900000000001
76,0,589.03,4.1113333333333335,0.006666666666666667,589.03,42.43,631.4599999999999
76,1,792.86,3.7292307692307696,0.007692307692307693,792.86,57.33,850.19
76,2,804.29,3.7,0.016923076923076923,804.29,58.17,862.4599999999999
77,0,1069.06,4.386,0.006666666666666667,1069.06,76.81,1145.87
77,1,1176.38,3.3653846153846154,0.007692307692307693,1176.38,85.36,1261.74
77,2,1202.74,4.5,0.007692307692307693,1202.74,86.32,1289.06
78,0,315.86,1.8153333333333335,0.03933333333333333,315.86,23.27,339.13
78,1,651.38,1.7584615384615385,0.07153846153846154,651.38,48.01,699.39
78,2,689.49,6.53,0.007692307692307693,689.49,48.54,738.03
79,0,410.29,3.614,0.034666666666666665,410.29,29.7,439.99
79,1,685.74,4.14,0.007692307692307693,685.74,49.39,735.13
79,2,688.87,3.33,0.007692307692307693,688.87,50.0,738.87
80,0,55.7,2.508,0.006666666666666667,55.7,4.08,59.78
80,1,591.27,2.443076923076923,0.04846153846153846,591.27,43.29,634.56
80,2,594.83,2.256923076923077,0.045384615384615384,594.83,43.63,638.46
81,0,621.27,3.720666666666667,0.006666666666666667,621.27,44.92,666.1899999999999
81,1,858.96,4.484615384615385,0.007692307692307693,858.96,61.66,920.62
81,2,866.91,3.600769230769231,0.007692307692307693,866.91,62.76,929.67
82,0,5.56,3.5660000000000003,0.051333333333333335,5.56,0.4,5.96
82,1,591.57,2.5707692307692307,0.02076923076923077,591.57,43.26,634.83
82,2,594.52,2.2653846153846153,0.02076923076923077,594.52,43.6,638.12
83,0,180.3,3.0606666666666666,0.07400000000000001,180.3,13.12,193.42000000000002
83,1,598.88,2.6576923076923076,0.016153846153846154,598.88,43.75,642.63
83,2,601.97,2.3023076923076924,0.024615384615384615,601.97,44.13,646.1
85,0,826.88,2.0020000000000002,0.05533333333333334,826.88,60.8,887.68
85,1,1002.25,2.0315384615384615,0.3607692307692308,1002.25,73.67,1075.92
85,2,1033.59,3.5338461538461536,0.007692307692307693,1033.59,74.87,1108.46
86,0,5267.37,3.860666666666667,0.006666666666666667,5267.37,380.37,5647.74
86,1,5248.23,3.5923076923076924,0.007692307692307693,5248.23,379.97,5628.2
86,2,5345.89,4.456153846153846,0.007692307692307693,5345.89,383.84,5729.7300000000005
88,0,8752.47,4.017333333333333,0.006666666666666667,8752.47,631.08,9383.55
88,1,8776.29,4.432307692307693,0.007692307692307693,8776.29,630.29,9406.580000000002
88,2,8777.3,4.433076923076923,0.007692307692307693,8777.3,630.35,9407.65
89,0,611.8,3.7186666666666666,0.016,611.8,44.24,656.04
89,1,751.32,4.373846153846154,0.0,751.32,53.99,805.3100000000001
